translationKey,sourceValue,overrideValue
button.Create_message,Create message,Create message
view_heading.view_agro_dealer_transaction,View agro dealer transaction,View agro dealer transaction
column.net_stock_movement,Net stock movement,Net stock movement
button.Upload_Stock,Upload Stock,Upload Stock
row_action._Archive,Archive,Archive
table_title.SMS_Content,SMS Content,SMS Content
view_heading.view_season,View season,View season
reportsviewheading.Voucher_report_per_county_per_depot,Voucher report per county per depot,Voucher report per county per depot
input.recipient(s),Recipient(s),Recipient(s)
custom_header.crop37,{DashboardUtil:uCrop37},{DashboardUtil:uCrop37}
table_heading.Available_Actions,Available Actions,Available Actions
column_heading.Quantity,Quantity,Quantity
label.datetime_created,Datetime created,Datetime created
label.location,Location,Location
column_heading.last_name,Last name,Last name
sms.voucher_redemption.no_vouchers_available,"Dear {fFarmerName}, you currently have no available vouchers. Thank you - {fProviderName}.","Dear {fFarmerName}, you currently have no available vouchers. Thank you - {fProviderName}."
view_heading.manage_stock_transaction,Manage stock transaction,Manage stock transaction
view_heading.Manage_Settings,Manage Settings,Manage Settings
view_heading.manage_Voucher_Template,Manage Voucher Template,Manage Voucher Template
label.Code,Code,Code
column_heading.question_description,Question description,Question description
reports_allocated.Allocated)(Bags),Allocated)(Bags),Allocated)(Bags)
menu_item.menu,Menu,Menu
custom_header.crop10,{DashboardUtil:uCrop10},{DashboardUtil:uCrop10}
button.add_stock_transaction,Add stock transaction,Add stock transaction
column.Success,Success,Success
button_heading.Load,Load,Load
label.Max_Bags_Allowed_per_Voucher,Max Product Items Allowed per Voucher,Max Product Items Allowed per Voucher
column.mobile_Number,Mobile Number,Mobile Number
info.Uploader_Mobile,Uploader Mobile,Uploader Mobile
reportstableheading.Farmer_Voucher_Adoption,Farmer Voucher Adoption,Farmer Voucher Adoption
stringgroup.Translation,Translation,Translation
view_heading.View_Agro_Dealer_Transaction_Fee_Payment_History,View Agro Dealer Transaction Fee Payment History,View Agro Dealer Transaction Fee Payment History
column_heading.Status_Date,Status Date,Status Date
column.sub_depot,Sub depot,Sub depot
label.Role_Location,Role Location,Role Location
reports_county.County,County,County
alert_error.no_file,No file found.,No file found.
info.status,Status,Status
reports_sno.S/No,S/No,S/No
button.add_internal_support,Add internal support,Add internal support
label.Duplicate_Farmers,Duplicate Farmers,Duplicate Farmers
string_label.Lastname,Lastname,Lastname
view_heading.edit_stock_transaction,Edit stock transaction,Edit stock transaction
column_heading.characters,Characters,Characters
submit.save,Save,Save
button.select,Select,Select
table_heading.Enterprises_by_Region,Enterprises by Region,Enterprises by Region
alert_error.invalid_ward_name,Invalid ward specified.,Invalid ward specified.
custom_header.crop17,{DashboardUtil:uCrop17},{DashboardUtil:uCrop17}
input.Name,Name,Name
view_heading.Order_List,Order List,Order List
alert_error.invalid_mobile_number,Invalid mobile number.,Invalid mobile number.
alert.object.voucher_batch_request_code_exists,Request code {fAttributeName} already in user by another Voucher Batch,Request code {fAttributeName} already in user by another Voucher Batch
confirmation.reject_bulk_message_body,Do not send these messages?,Do not send these messages?
column.Event_Description,Event Description,Event Description
custom_header.crop67,{DashboardUtil:uCrop67},{DashboardUtil:uCrop67}
column_heading.country,Country,Country
enum.ORDER_STATUS.Received,Received,Received
custom_header.crop95,{DashboardUtil:uCrop95},{DashboardUtil:uCrop95}
custom_header.crop90,{DashboardUtil:uCrop90},{DashboardUtil:uCrop90}
button.users,Users,Users
button.update,Update,Update
info.action,Action,Action
column_heading.Active,Active,Active
button.pay,Pay,Pay
sms.voucher_redemption.voucher_batch_inactive,VoucherBatch {fRequestCode} is no longer active.,VoucherBatch {fRequestCode} is no longer active.
view_heading.edit_mobile_user,Edit mobile user,Edit mobile user
button.save,Save,Save
info.Total_Farmers,Total Farmers,Total Farmers
alert.uploadfile.confirmuploaddone,The file has been uploaded.,The file has been uploaded.
datefield.Start_Date,Start Date,Start Date
label.Max_crop_size,Max enterprise size,Max enterprise size
confirm_body.archive_web_user,Archive Web User,Archive Web User
alert_error.please_select_one,Please select at least one {fDesc}.,Please select at least one {fDesc}.
label.crop,Crop,Crop
column_heading.customer_mobile,Customer Mobile Number,Customer Mobile Number
label.template_name,Template name,Template name
label.Include_Parent,Include Parent,Include Parent
table_heading.SMS_log,SMS log,SMS log
sms.voucher_notfication,"Dear {fFarmerName}, you have a voucher code: {fVoucherCode} for {fUnitQuantity} {fUnits} of {fProductName}. This voucher will expire in {fDays} days.","Dear {fFarmerName}, you have a voucher code: {fVoucherCode} for {fUnitQuantity} {fUnits} of {fProductName}. This voucher will expire in {fDays} days."
custom_header.question_5,{Reportviewer:uQuestion5Header},{Reportviewer:uQuestion5Header}
column_heading.user,User,User
table_heading.Enterprises_by_Region,Enterprises by Region,Enterprises by Region
reportsviewheading.Forms_Captured_Report,Forms Captured Report,Forms Captured Report
alert.uploadfile.confirmprocesswitherrors,The uploaded file has been processed with some errors. Please see error log below.,The uploaded file has been processed with some errors. Please see error log below.
button_heading.Load,Load,Load
alert.user_re-enrolling_exists,"This user exists, please search thoroughly.","This user exists, please search thoroughly."
label.Unit_Price,Unit Price,Unit Price
table_heading.voucher_batch_transaction,Voucher batch transaction,Voucher batch transaction
confirm_subject.archive,Archive?,Archive?
label.transaction,Transaction,Transaction
view_heading.sms_log,Sms log,Sms log
view_heading.manage_Agro_Dealer_Payments,Manage Agro Dealer Payments,Manage Agro Dealer Payments
view_heading.view_stock_item,View stock item,View stock item
view_heading.manage_extension_officer_profile,Manage extension officer profile,Manage extension officer profile
custom_header.reportsgenerictemplate_column_date1,{ReportsGenericViewerLabels:column_date1},{ReportsGenericViewerLabels:column_date1}
label.farmer_ward,Farmer ward,Farmer ward
view_heading.transaction_fee_history,Transaction fee history,Transaction fee history
column_heading.date,Date,Date
reports_redeemed.QTY_Redeemed,QTY Redeemed,QTY Redeemed
column.crop_variety,Crop variety,Crop variety
alert.select_order_status.error,Please Select an Order Status,Please Select an Order Status
view_heading.Voucher_Log,Voucher Log,Voucher Log
alert.common.generic,{message},{message}
alert.crop.active_croptype,Enterprise is still in use by active VoucherBatches.,Enterprise is still in use by active VoucherBatches.
reports_farmersinvolved.Farmers_Involved_(No),Farmers Involved (No),Farmers Involved (No)
label.Duplicate_Farmers,Duplicate Farmers,Duplicate Farmers
column_heading.field_order,Field order,Field order
info.priority,Priority,Priority
table_heading.Assigned_Role_Groups,Assigned Role Groups,Assigned Role Groups
label.datetime_modified,Datetime modified,Datetime modified
alert_error.template.required_field,Please note this field is required: {field},Please note this field is required: {field}
custom_header.stock_stock_type,stock_type,stock_type
column.GPS_long,GPS long,GPS long
alert_error.Required_Number,Please note this field is required and may contain numbers only.,Please note this field is required and may contain numbers only.
button.add_farmer,Add farmer,Add farmer
view_heading.view_voucher_batch,View voucher batch,View voucher batch
sms.stock_transaction.stock_issued,"Dear {fUserName}, {fStockAmount} {fUnits} of {fStockName} have been issued to {fServicePoint}.","Dear {fUserName}, {fStockAmount} {fUnits} of {fStockName} have been issued to {fServicePoint}."
column.date_modified,Date modified,Date modified
custom_header.crop65,{DashboardUtil:uCrop65},{DashboardUtil:uCrop65}
label.lipa_Mpesa_Till_Number,Lipa Mpesa Till Number,Lipa Mpesa Till Number
view_heading.manage_location_level,Manage location level,Manage location level
custom_header.crop14,{DashboardUtil:uCrop14},{DashboardUtil:uCrop14}
column_heading.Quantity,Quantity,Quantity
input.config_key,Config key,Config key
menu_item.Receipts,Receipts,Receipts
reports_balance.Quantity_Balance,Quantity Balance,Quantity Balance
alert_error.empty_group_collection,"Group is empty, please add some people.","Group is empty, please add some people."
info.scheduled_function_config_archived,Scheduled Function archived,Scheduled Function archived
error.location_level_six,Level 6 cannot be empty,Level 6 cannot be empty
column.location,Location,Location
column.Stock_Type,Stock Type,Stock Type
custom_header.reportsgenerictemplate_column_datetime1,{ReportsGenericViewerLabels:column_datetime1},{ReportsGenericViewerLabels:column_datetime1}
sms.stock_transaction.stock_issued,"Dear {fUserName}, {fStockAmount} {fUnits} of {fStockName} have been issued to {fServicePoint}.","Dear {fUserName}, {fStockAmount} {fUnits} of {fStockName} have been issued to {fServicePoint}."
column_heading.country,Country,Country
reports_depotagrodealer.Depot/Agro_Dealer,Depot/Agro Dealer,Depot/Agro Dealer
custom_header.crop13,{DashboardUtil:uCrop13},{DashboardUtil:uCrop13}
view_heading.manage_agro_dealer_profile,Manage agro dealer profile,Manage agro dealer profile
table_heading.service_point,Service point,Service point
model.roles.initiator,Initiator,Initiator
column_heading.cropname,Cropname,Cropname
menu_item.logs,Logs,Logs
label.Order_Total,Order Total,Order Total
select_user,Select User,Select User
column_heading.Number_of_Farmers,Number of Farmers,Number of Farmers
column_heading.response,Response,Response
table_heading.Download_and_Fix,Download and Fix,Download and Fix
column.Percentage_of_farmers_with_GPS_coordinates,Percentage of farmers with GPS coordinates,Percentage of farmers with GPS coordinates
custom_header.crop48,{DashboardUtil:uCrop48},{DashboardUtil:uCrop48}
label.nationalCerealsandProduceBoard,NationalCerealsandProduceBoard,NationalCerealsandProduceBoard
label.county,County,County
button_label.Filter_Remove,Filter Remove,Filter Remove
alert.user_group.archive_system,Cannot delete a System User Group,Cannot delete a System User Group
button.manage,Manage,Manage
view_heading.create_farmer,Create farmer,Create farmer
custom_header.County_Header,{Reportviewer:uCountyHeader},{Reportviewer:uCountyHeader}
label.businessName,BusinessName,BusinessName
custom_header.crop2,{DashboardUtil:uCrop2},{DashboardUtil:uCrop2}
label.bank_Account_Holder,Bank Account Holder,Bank Account Holder
confirm_body.archive_location,Are you sure you would like to delete this Location?,Are you sure you would like to delete this Location?
column.Mobile_Number,Mobile Number,Mobile Number
column_heading.qualifiedName,QualifiedName,QualifiedName
label.path,Path,Path
button_heading.remove,Remove,Remove
custom_header.question_3,{Reportviewer:uQuestion3Header},{Reportviewer:uQuestion3Header}
label.Group_Price,Group Price,Group Price
alert.farmer.not_found_mobile,Farmer not found with mobile number: {mobileNumber},Farmer not found with mobile number: {mobileNumber}
custom_header.stock_unit_price,unit_price,unit_price
reportsviewheading.Farmer_Registration_Answers_Report,Farmer Registration Answers Report,Farmer Registration Answers Report
view_heading.stock_menu,Stock menu,Stock menu
button.receive,Receive,Receive
string_label.Enrolled,Enrolled,Enrolled
view_heading.identification_management,Identification management,Identification management
reportsviewheading.Reports,Reports,Reports
reportstableheading.Enterprise_Summary_Report,Enterprise Summary Report,Enterprise Summary Report
button.delete,Delete,Delete
button.add_season,Add season,Add season
alert_error.empty_field,{uFieldName} is empty.,{uFieldName} is empty.
alert.button.error,No comment added,No comment added
alert.object.voucher_template_no_season,Please select a season.,Please select a season.
input.Message_to_send,Message to send,Message to send
view_heading.Farmer_Upload_File,Farmer Upload File,Farmer Upload File
button.FilterByParameters,FilterByParameters,FilterByParameters
column_heading.farmer_location,Farmer location,Farmer location
label.sms_content,Sms content,Sms content
column.processing,Processing,Processing
table_heading.selected_fertilizer,Selected fertilizer,Selected fertilizer
column.User_Mobile_Number,User Mobile Number,User Mobile Number
label.nationalid_*,Nationalid *,Nationalid *
column.start,Start,Start
info.locations_with_errors,Locations with errors,Locations with errors
menu_item.PreReg_Farmers,PreReg Farmers,PreReg Farmers
reportsviewheading.Farmer_Registration_Report_By_County,Farmer Registration Report By County,Farmer Registration Report By County
view_heading.error_logs,Error logs,Error logs
view_heading.crud_menu,Crud menu,Crud menu
label.English_Content,English Content,English Content
reportstableheading.Detailed_Till_Transactions_Report,Detailed Till Transactions Report,Detailed Till Transactions Report
view_heading.manage_voucher,Manage voucher,Manage voucher
custom_header.crop75,{DashboardUtil:uCrop75},{DashboardUtil:uCrop75}
reportsviewheading.Stock_Recon_Report,Stock Reconciliation Report,Stock Reconciliation Report
view_heading.manage_location_level,Manage location level,Manage location level
label.active,Active,Active
custom_header.crop64,{DashboardUtil:uCrop64},{DashboardUtil:uCrop64}
reportsviewheading.Voucher_codes_sent,Voucher codes sent,Voucher codes sent
input.select_form,Select form,Select form
custom_header.stock_unit_price,unit_price,unit_price
alert_success.sms.sms_injected,SMS Injected.,SMS Injected.
column.Sub_County,Sub County,Sub County
column.Season,Season,Season
confirm_body.removing_identity,Are you sure you would like to delete this kind of identification?,Are you sure you would like to delete this kind of identification?
column.initial_budget,Initial budget,Initial budget
string_label.Name,Name,Name
table_column_heading.location_level_eight,location_level_eight,location_level_eight
custom_header.crop50,{DashboardUtil:uCrop50},{DashboardUtil:uCrop50}
reports_balance.Quantity_Balance,Quantity Balance,Quantity Balance
label.current_budget,Current budget,Current budget
custom_header.crop36,{DashboardUtil:uCrop36},{DashboardUtil:uCrop36}
button.execute_event,Execute event,Execute event
column_heading.User_Uuid,User Uuid,User Uuid
string_label.Barcode,Barcode,Barcode
label.module,Module,Module
button.View,View,View
button.Remove,Remove,Remove
reportstableheading.Distribution_Costs_per_Depot,Distribution Costs per Depot,Distribution Costs per Depot
view_heading.view_receipts,View receipts,View receipts
button.save_and_finish,Save and finish,Save and finish
custom_header.crop92,{DashboardUtil:uCrop92},{DashboardUtil:uCrop92}
alert_info.duplicate_flag_created,Duplicate flags on farmer corrected,Duplicate flags on farmer corrected
reports_bagshandled.No_of_Bags_handled,No of Bags handled,No of Bags handled
alert_error.recipient_count_empty,The recipient count is 0 . Please add people to Group.,The recipient count is 0 . Please add people to Group.
column.Mobile_User_Name,Mobile User Name,Mobile User Name
button.add_stock_item,Add stock item,Add stock item
view_heading.manage_service_points,Manage service points,Manage service points
view_heading.Location_Uploads_with_errors,Location Uploads with errors,Location Uploads with errors
label.Units,Units,Units
table_heading.Order_Items,Order Items,Order Items
error.existing_user_group,This group already exists.,This group already exists.
alert.object.voucher_batch_invalid_dates,Voucher Batch has invalid date parameters,Voucher Batch has invalid date parameters
view_heading.manage_Group_Members,Manage Group Members,Manage Group Members
string_label.Mobile_number,Mobile number,Mobile number
button.add_fertilizer_template,Add product template,Add product template
column_heading.File_Name,File Name,File Name
label.customRoleName,CustomRoleName,CustomRoleName
label.bag_cost,Bag cost,Bag cost
view_heading.bank_deposits,Bank Deposits,Bank Deposits
column.Transaction_Result,Transaction Result,Transaction Result
column.voucher_batch,Voucher batch,Voucher batch
view_heading.pay_Agro_Dealer,Pay Agro Dealer,Pay Agro Dealer
label.Stock_Status,Stock Status,Stock Status
view_heading.Voucher_Batch_Fertilizers,Voucher Batch Products,Voucher Batch Products
reportsviewheading.Farmer_Voucher_Adoption,Farmer Voucher Adoption,Farmer Voucher Adoption
alert.uploadfile.confirmschedulebody,Please confirm that you wish to schedule this uploaded file for processing?,Please confirm that you wish to schedule this uploaded file for processing?
custom_header.crop86,{DashboardUtil:uCrop86},{DashboardUtil:uCrop86}
custom_header.crop7,{DashboardUtil:uCrop7},{DashboardUtil:uCrop7}
table_heading.Farmers_by_Gender,Farmers by Gender,Farmers by Gender
button.history,History,History
table.Upload_Log,Upload Log,Upload Log
column_heading.File_Name,File Name,File Name
view_heading.voucher_batch_top-up,Voucher batch top-up,Voucher batch top-up
view_heading.view_voucher_category,View voucher category,View voucher category
alert.bulk_message_rejected,Bulk Message rejected.,Bulk Message rejected.
input_label.registered_on_farm,Registered on farm,Registered on farm
button.add,Add,Add
view_heading.Stock_Items_Uploads_with_errors,Stock Items Uploads with errors,Stock Items Uploads with errors
table_heading.stock_levels,Stock levels,Stock levels
alert.select_end_status.error,Please Select a End Date,Please Select a End Date
input.messageContent,MessageContent,MessageContent
custom_header.crop64,{DashboardUtil:uCrop64},{DashboardUtil:uCrop64}
view_heading.manage_voucher_batch,Manage voucher batch,Manage voucher batch
alert.object.voucher_batch_no_max_bags,Please enter a valid number for Maximum Bags per voucher.,Please enter a valid number for Maximum Bags per voucher.
view_heading.view_Location,View Location,View Location
custom_header.crop41,{DashboardUtil:uCrop41},{DashboardUtil:uCrop41}
button.View_Content,View Content,View Content
reports_bagshandled.No_of_Bags_handled,No of Bags handled,No of Bags handled
label.Stock_Included,Stock Included,Stock Included
confirm_subject.archive_farmer,Delete Farmer,Delete Farmer
row_action.change_state,Change state,Change state
column.first_name,First name,First name
column.Language,Language,Language
column.stock_item,Stock item,Stock item
column_heading.Product_Code,Product Code,Product Code
view_heading.User_Message,User Message,User Message
column_heading.Farmer,Farmer,Farmer
custom_header.crop94,{DashboardUtil:uCrop94},{DashboardUtil:uCrop94}
view_heading.create_User_Group,Create User Group,Create User Group
label.Service_Point_Stock_Totals_Aggregated,Service Point Stock Totals Aggregated,Service Point Stock Totals Aggregated
button.roles,Roles,Roles
custom_header.reportsgenerictemplate_column_location2,{ReportsGenericViewerLabels:column_location2},{ReportsGenericViewerLabels:column_location2}
alert.crop.active_croptypetemplate,Crop is still in use by VoucherTemplate,Crop is still in use by VoucherTemplate
input.Question,Question,Question
button.Assign_Filter,Assign Filter,Assign Filter
view_heading.bank_deposits,Bank Deposits,Bank Deposits
button.Edit_Definitions,Edit Definitions,Edit Definitions
button.add_location,Add location,Add location
column_heading.Error_Code,Error Code,Error Code
input.order,Order,Order
alert.uploadfile.confirmdeletedone,Uploaded file has been deleted.,Uploaded file has been deleted.
column.request_code,Request code,Request code
view_heading.SMS_Content_Uploads_with_errors,SMS Content Uploads with errors,SMS Content Uploads with errors
label.Crops_Uploaded,Crops Uploaded,Crops Uploaded
custom_header.crop18,{DashboardUtil:uCrop18},{DashboardUtil:uCrop18}
custom_header.crop58,{DashboardUtil:uCrop58},{DashboardUtil:uCrop58}
label.Stock_Status,Stock Status,Stock Status
custom_header.crop22,{DashboardUtil:uCrop22},{DashboardUtil:uCrop22}
table_heading.Orders,Orders,Orders
custom_header.reportsgenerictemplate_column_int9,{ReportsGenericViewerLabels:column_int9},{ReportsGenericViewerLabels:column_int9}
custom_header.crop4,{DashboardUtil:uCrop4},{DashboardUtil:uCrop4}
label.new_quantity,New quantity,New quantity
column_heading.expired,Expired,Expired
reports_fertilizertype.Fertilizer_type,Fertilizer type,Fertilizer type
stringgroup.Global_Translation_Parameter,Global Translation Parameter,Global Translation Parameter
custom_header.crop31,{DashboardUtil:uCrop31},{DashboardUtil:uCrop31}
label.first_name,First name,First name
label.regCertNumber,RegCertNumber,RegCertNumber
label.redeemed_total,Redeemed total,Redeemed total
alert_error.resend.no_vouchers_found,No vouchers found for mobile number.,No vouchers found for mobile number.
custom_header.crop12,{DashboardUtil:uCrop12},{DashboardUtil:uCrop12}
column_heading.field_description,Field description,Field description
custom_header.crop99,{DashboardUtil:uCrop99},{DashboardUtil:uCrop99}
column_heading.servicePoint,Service Point,Service Point
view_heading.error_logs,Error logs,Error logs
table_heading.user_group,User group,User group
column_heading.verified,Verified,Verified
reports_subsidyperbagksh.Subsidy_per_Bags_(Ksh),Subsidy per Bags (Ksh),Subsidy per Bags (Ksh)
alert.uploadfile.confirmprocesswitherrors,The uploaded file has been processed with some errors. Please see error log below.,The uploaded file has been processed with some errors. Please see error log below.
label.nationalid,Nationalid,Nationalid
custom_header.crop81,{DashboardUtil:uCrop81},{DashboardUtil:uCrop81}
table_heading.benefit_templates,Benefit templates,Benefit templates
column.plotLR,PlotLR,PlotLR
button.toggle,Toggle,Toggle
column_heading.location_level_eight,Level 8,Level 8
table_heading.farmer,Farmer,Farmer
column_heading.Processed_Time,Processed Time,Processed Time
button_heading.remove,Remove,Remove
column_heading.Scheduled_Time,Scheduled Time,Scheduled Time
alert_error.invalid_croptype,Invalid crop type specified.,Invalid crop type specified.
input.Category_Name,Category Name,Category Name
row_action.Add,Add,Add
label.Description,Description,Description
view_heading.voucher_batch_top-up,Voucher batch top-up,Voucher batch top-up
column.Stock_Type,Stock Type,Stock Type
alert.field.updated,{uFieldName} updated.,{uFieldName} updated.
custom_header.crop89,{DashboardUtil:uCrop89},{DashboardUtil:uCrop89}
custom_header.crop56,{DashboardUtil:uCrop56},{DashboardUtil:uCrop56}
custom_header.crop41,{DashboardUtil:uCrop41},{DashboardUtil:uCrop41}
menu_item.messaging,Messaging,Messaging
column_heading.farmer.wardname,wardname,wardname
column_heading.crop,Enterprise,Enterprise
custom_header.location_level_two,Location level two,Location level two
alert.active_service_points_found,Cannot archive Service Point Type there are active service points.,Cannot archive Service Point Type there are active service points.
alert.object.found,{uObjectName} found.,{uObjectName} found.
column_heading.location_level_four,Level 4,Level 4
custom_header.crop41,{DashboardUtil:uCrop41},{DashboardUtil:uCrop41}
column.total_bags,Total bags,Total bags
view_heading.edit_Voucher_Batch,Edit Voucher Batch,Edit Voucher Batch
view_heading.view_benefit_template,View benefit template,View benefit template
reportsviewheading.Detailed_Till_Transactions_Report,Detailed Till Transactions Report,Detailed Till Transactions Report
alert.farmer.request.no_notification_record,Farmer did not receive notification for Voucher Batch: {fRequestCode},Farmer did not receive notification for Voucher Batch: {fRequestCode}
column.crop_type,Crop type,Crop type
label.Failed_Crops,Failed Enterprises,Failed Enterprises
table_heading.Selected_Vouchers,Selected Vouchers,Selected Vouchers
alert.active_service_points_found,Cannot archive Service Point Type there are active service points.,Cannot archive Service Point Type there are active service points.
enum.ORDER_STATUS.Received,Received,Received
reportsviewheading.Voucher_Redemption_Report,Voucher Redemption Report,Voucher Redemption Report
column_heading.date,Date,Date
table_title.identification_types,Identification types,Identification types
reports_commissionperbagksh.Commission_per_Bag_(Ksh),Commission per Bag (Ksh),Commission per Bag (Ksh)
view_heading.Manage_Mobile_Users,Manage Mobile Users,Manage Mobile Users
view_heading.Stock_Item_Upload_File,Stock Item Upload File,Stock Item Upload File
label.Total_Owed,Total Owed,Total Owed
reports_totalfarmers.Total_Farmers,Total Farmers,Total Farmers
label.current_balance,Current balance,Current balance
custom_header.reportsgenerictemplate_column_decimal3,{ReportsGenericViewerLabels:column_decimal3},{ReportsGenericViewerLabels:column_decimal3}
label.name_*,Name *,Name *
view_heading.Product_Aggregation_List,Product Aggregation List,Product Aggregation List
column_heading.location_level_one,Level 1,Level 1
button.Back,Back,Back
textfield.New_Comment,New Comment,New Comment
input.config_description,Config description,Config description
column_heading.farm_size,Enterprise units,Enterprise units
button.view_available_stock,View Stock,View Stock
sms.sms_opt_out.success,"Dear {fUserName}, you will no longer receive SMSes for {solutionName}.","Dear {fUserName}, you will no longer receive SMSes for {solutionName}."
column_heading.role_group,Role group,Role group
custom_header.location_level_seven,Location level seven,Location level seven
view_heading.manage_Web_User,Manage Web User,Manage Web User
menu_item.Dashboard,Dashboard,Dashboard
input.stock_item_csv,Stock item csv,Stock item csv
view_heading.edit_farmer,Edit farmer,Edit farmer
column_heading.State,State,State
column_heading.Description,Description,Description
table_heading.crop_vouchers,Enterprise vouchers,Enterprise vouchers
input_label.institute,Institute,Institute
column.Total_Cost_To_Farmer,Total Cost To Farmer,Total Cost To Farmer
info.Number_of_recipients_in_roles,Number of recipients in roles,Number of recipients in roles
column_heading.length,Length,Length
column_heading.servicePoint,Service Point,Service Point
view_heading.Manage_Enterprise_Group,Manage Enterprise Group,Manage Enterprise Group
label.bag_handling_fee,Handling fee,Handling fee
label.Unit_Price,Unit Price,Unit Price
custom_header.level4,{DashboardUtil:uLevel4},{DashboardUtil:uLevel4}
sms.farmer.voucher_payment,"Dear {fFarmerName}, please pay {fCurrency}{fAmount} to redeem the {fCategoryName} voucher. Thank You - {fProviderName}.","Dear {fFarmerName}, please pay {fCurrency}{fAmount} to redeem the {fCategoryName} voucher. Thank You - {fProviderName}."
button.filter_crops,Filter crops,Filter crops
column_heading.farmer_location,Farmer location,Farmer location
custom_header.crop72,{DashboardUtil:uCrop72},{DashboardUtil:uCrop72}
info.action,Action,Action
column_heading.farmer.farmownership,farmownership,farmownership
custom_header.crop93,{DashboardUtil:uCrop93},{DashboardUtil:uCrop93}
view_heading.edit_Internal_Support,Edit Internal Support,Edit Internal Support
confirm_subject.removing_identity,Delete identification,Delete identification
label.RoleGroup,RoleGroup,RoleGroup
label.New_CaseSensitive_Text,New CaseSensitive Text,New CaseSensitive Text
custom_header.level4,{DashboardUtil:uLevel4},{DashboardUtil:uLevel4}
table_heading.stock_levels,Stock levels,Stock levels
label.county,County,County
table_heading.selected_fertilizer,Selected fertilizer,Selected fertilizer
view_heading.view_farmer,View farmer,View farmer
column_heading.farmer.leasedlrnumber,leasedlrnumber,leasedlrnumber
alert.object.exists,{uObjectName} already exists.,{uObjectName} already exists.
label.Enterprise_Category,Enterprise Category,Enterprise Category
label.mobile_action,Mobile action,Mobile action
sms.farmer.invite,"Dear {fFarmerName}, you have been registered for {fSolutionName}.","Dear {fFarmerName}, you have been registered for {fSolutionName}."
reports_subcounty.County,County,County
view_heading.View_Stock,View Stock,View Stock
column_heading.expiry,Expiry,Expiry
custom_header.County_Header,{Reportviewer:uCountyHeader},{Reportviewer:uCountyHeader}
label.Object_Types,Object Types,Object Types
reports_utilizedorredeemedksh.Utilized_or_Redeemed_(Ksh),Utilized or Redeemed (Ksh),Utilized or Redeemed (Ksh)
view_heading.manage_Location,Manage Location,Manage Location
custom_header.crop2,{DashboardUtil:uCrop2},{DashboardUtil:uCrop2}
view_heading.Main_Menu,Main Menu,Main Menu
button.add_service_point_type,Add service point type,Add service point type
column.nationalCerealsandProduceBoard,NationalCerealsandProduceBoard,NationalCerealsandProduceBoard
column.user_group,User group,User group
alert.error.service_point.invalid_location,Please select a location,Please select a location
column_heading.First_Name,First Name,First Name
column_heading.action,Action,Action
alert.farmer.request.voucher_exists_active,Voucher already issued. Code: {voucherCode},Voucher already issued. Code: {voucherCode}
reportstableheading.Enterprises_Supported_Status,Enterprises Supported Status,Enterprises Supported Status
custom_header.crop12,{DashboardUtil:uCrop12},{DashboardUtil:uCrop12}
button.FilterByParameters,FilterByParameters,FilterByParameters
button.Add_Scheduled_Configuration,Add Scheduled Configuration,Add Scheduled Configuration
alert.voucher.redeem_success,Voucher/s {fVoucherCodeSuccess} successfully redeemed.,Voucher/s {fVoucherCodeSuccess} successfully redeemed.
sms.voucher_redemption.voucher_partially_redeemed,"Dear {fFarmerName}, you will receive new voucher codes for partially redeemed voucher {fRequestCode} within the next hour or two. Thank you - {fProviderName}.","Dear {fFarmerName}, you will receive new voucher codes for partially redeemed voucher {fRequestCode} within the next hour or two. Thank you - {fProviderName}."
custom_header.crop77,{DashboardUtil:uCrop77},{DashboardUtil:uCrop77}
view_heading.edit_stock_transaction,Edit stock transaction,Edit stock transaction
reportstableheading.Products_Redeemed_Report,Products Redeemed Report,Products Redeemed Report
table_heading.service_point_type,Service point type,Service point type
reportsviewheading.Web_Reports,Web Reports,Web Reports
table_column_heading.location_level_three,location_level_three,location_level_three
reports_utilized.Utilized_(Redeemed_Bags),Utilized (Redeemed Bags),Utilized (Redeemed Bags)
label.dob_*,Dob *,Dob *
button.Change_Location,Change Location,Change Location
input.Scheduled_Time,Scheduled Time,Scheduled Time
custom_header.crop16,{DashboardUtil:uCrop16},{DashboardUtil:uCrop16}
table_title.identification_types,Identification types,Identification types
view_heading.web_User_Profile,Web User Profile,Web User Profile
alert.object.voucher_template_no_category,Please select a category.,Please select a category.
error.location_level_five,Level 5 cannot be empty,Level 5 cannot be empty
column_heading.processing,Processing,Processing
table_heading.agro_dealer_transaction,Agro dealer transaction,Agro dealer transaction
custom_header.crop78,{DashboardUtil:uCrop78},{DashboardUtil:uCrop78}
confirm_body.remove_web_user_role,Are you sure you would like to remove this Role from this user?,Are you sure you would like to remove this Role from this user?
custom_header.crop35,{DashboardUtil:uCrop35},{DashboardUtil:uCrop35}
column_heading.State,State,State
alert.start_date_status.error,Start Date Can Not Be Less Than Current Date,Start Date Can Not Be Less Than Current Date
sms.sms_opt_out.success,"Dear {fUserName}, you will no longer receive SMSes for {solutionName}.","Dear {fUserName}, you will no longer receive SMSes for {solutionName}."
button.Reject,Reject,Reject
reports_fertilizerquantity.Fertilizer_Quantity_Gone_to_the_Crop_(Bags),Fertilizer Quantity Gone to the Crop (Bags),Fertilizer Quantity Gone to the Crop (Bags)
table.Select,Select,Select
